Junction,Baseline_MAE,Baseline_RMSE,Model_MAE,Model_RMSE,n_test
1,6.259618717504333,8.097863295216024,4.500012940881157,6.487501008934465,2885
2,2.9393414211438476,3.73563104995945,2.3624845213865284,2.9958257668155883,2885
3,3.7150779896013866,6.479777902349598,2.8365245096811593,5.321622833860673,2885
4,2.5976047904191617,3.548298065506426,1.9941096031737184,2.9107826480570376,835
